model,calibration_n,calibration_mean,holdout_n,holdout_mean,delta_holdout_minus_calibration
qwen2.5:3b,80,6.81875,160,7.2625,0.44375000000000053
qwen2.5-coder:7b,80,6.8375,160,6.93125,0.09375
qwen3:14b,80,6.9,160,6.88125,-0.01875000000000071
llama3.2:3b,80,6.8875,160,6.8,-0.08750000000000036
qwen2.5:1.5b,80,6.99375,160,6.675,-0.31875000000000053
qwen2.5-coder:3b,80,7.03125,160,6.646875,-0.38437500000000036
granite-code:8b,80,7.03125,160,6.546875,-0.484375
qwen2.5-coder:1.5b,80,6.63125,160,6.721875,0.09062500000000018
qwen3:8b,80,6.65,160,6.709375,0.05937499999999929
codegemma:7b,80,6.675,160,6.65625,-0.018749999999999822
qwen2.5-coder:14b,80,6.4,160,6.50625,0.10624999999999929
qwen2.5:7b,80,6.34375,160,6.265625,-0.078125
granite-code:3b,80,6.3875,160,6.08125,-0.30625000000000036
starcoder2:7b,80,0.95625,160,1.175,0.21875
starcoder2:3b,80,0.76875,160,0.39375,-0.37500000000000006
