system_type,n,mean_total,sd_total
customer support chatbot,156,6.0576923076923075,1.1100153129742043
DevOps incident assistant,156,6.118589743589744,1.3027417483376624
data analysis assistant,156,6.391025641025641,1.3996484256652912
corporate travel assistant,156,6.416666666666667,1.0758842324899227
procurement assistant,156,6.487179487179487,1.2351684199496948
financial education assistant,156,6.535256410256411,1.3076847053737077
library help assistant,156,6.605769230769231,1.1230856334003976
research grant assistant,156,6.605769230769231,1.3198357857099854
clinical information assistant,156,6.628205128205129,1.167948014297967
security operations assistant,156,6.676282051282051,1.3605080730036199
privacy compliance assistant,156,6.698717948717949,0.9962502069121689
HR policy assistant,156,6.727564102564102,1.2066254579878342
IT ticket triage assistant,156,6.737179487179487,1.2134311761238925
LLM code review assistant,156,6.740384615384615,1.2187661050663334
research literature assistant,156,6.772435897435898,1.4168831635283685
AI teaching feedback assistant,156,6.855769230769231,1.0411061353731725
access control assistant,156,7.0576923076923075,1.1994105251916238
meeting summarization assistant,156,7.080128205128205,1.3731254610721118
legal information assistant,156,7.121794871794871,1.4998621386881883
academic advising assistant,156,7.509615384615385,1.2756670030731094
